transactionHash	asset	assetReference	blockTimestamp	blockHeight	exchangeRate	trace#	address	direction	amount	name	category
7f76a320f404b46305aba14863fcc6297939d1a74c0a02f862033f17651f2e83	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-02-26T11:00:30Z	69971715	0.9994725108569468	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	48	OKX.com	exchange
7f76a320f404b46305aba14863fcc6297939d1a74c0a02f862033f17651f2e83	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-02-26T11:00:30Z	69971715	0.9994725108569468	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	48		
2755b7fcca2deb5b54a0a3ef9b64f5ca94759c5678f2288b38124040449cf472	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-02-26T12:24:12Z	69973387	0.999472728058521	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	37719.283968	OKX.com	exchange
2755b7fcca2deb5b54a0a3ef9b64f5ca94759c5678f2288b38124040449cf472	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-02-26T12:24:12Z	69973387	0.999472728058521	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	37719.283968		
6d777efae836bacb0d821a501cd0c234bd186837ebd068baa8e354bead313a46	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-02-27T14:05:09Z	70004198	0.9995201628527208	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	48	OKX.com	exchange
6d777efae836bacb0d821a501cd0c234bd186837ebd068baa8e354bead313a46	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-02-27T14:05:09Z	70004198	0.9995201628527208	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	48		
cabd902095437ef301337d8c91821174f78d8ac2317aa3d5df68890589741502	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-02-27T14:51:36Z	70005127	0.9995201628527208	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	48035.682293	OKX.com	exchange
cabd902095437ef301337d8c91821174f78d8ac2317aa3d5df68890589741502	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-02-27T14:51:36Z	70005127	0.9995201628527208	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	48035.682293		
f1c6c1580b6ea5313d1125ea490200deb861ae3a21dd6b3ddf46e86a93cc3d1e	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-02-28T13:04:15Z	70031767	0.9996212056513955	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	48	OKX.com	exchange
f1c6c1580b6ea5313d1125ea490200deb861ae3a21dd6b3ddf46e86a93cc3d1e	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-02-28T13:04:15Z	70031767	0.9996212056513955	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	48		
a934a590d7b2eb2e40439c5add3b0c165bac6cf869ffec618451e7b6272047ff	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-02-28T14:36:09Z	70033605	0.9997355578329304	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	16983.699201	OKX.com	exchange
a934a590d7b2eb2e40439c5add3b0c165bac6cf869ffec618451e7b6272047ff	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-02-28T14:36:09Z	70033605	0.9997355578329304	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	16983.699201		
3ddc1ea91f6bff52639d365676330c28ed7b25816758fb8beefcb7f7a14a96d7	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-01T12:14:48Z	70059570	0.9999340627969427	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	48	OKX.com	exchange
3ddc1ea91f6bff52639d365676330c28ed7b25816758fb8beefcb7f7a14a96d7	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-01T12:14:48Z	70059570	0.9999340627969427	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	48		
7444bddadb242d378443bfc43b785dcd1ed32babc2996448d7778ad499ab99ab	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-01T13:52:45Z	70061529	0.9999741070193172	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	83862.250647	OKX.com	exchange
7444bddadb242d378443bfc43b785dcd1ed32babc2996448d7778ad499ab99ab	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-01T13:52:45Z	70061529	0.9999741070193172	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	83862.250647		
c46be070c118691601488a04eec90eec370a40091c704ecd450c3bcd3df6c5ed	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-01T13:59:06Z	70061656	0.9999741070193172	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	20104.162045	OKX.com	exchange
c46be070c118691601488a04eec90eec370a40091c704ecd450c3bcd3df6c5ed	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-01T13:59:06Z	70061656	0.9999741070193172	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	20104.162045		
21e24051a1062cf00d248e7fa7669cb15badf388b620a64ad16ec6a4de8ebc50	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-02T09:30:54Z	70085086	0.9999321444357226	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	1696.994293	OKX.com	exchange
21e24051a1062cf00d248e7fa7669cb15badf388b620a64ad16ec6a4de8ebc50	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-02T09:30:54Z	70085086	0.9999321444357226	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	1696.994293		
4a4a8e3dc0db7d0c5fbc0702d210792898070d4a276d52cccbd446be379a37b9	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-02T10:29:36Z	70086260	0.9999791704391374	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	14353.069607	OKX.com	exchange
4a4a8e3dc0db7d0c5fbc0702d210792898070d4a276d52cccbd446be379a37b9	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-02T10:29:36Z	70086260	0.9999791704391374	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	14353.069607		
b8f8cbc81220c34ef363d7c780125e681a33d173b3dc68771ecb34e4c842536b	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-02T11:49:45Z	70087863	0.9999863642721624	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	1180.883595	OKX.com	exchange
b8f8cbc81220c34ef363d7c780125e681a33d173b3dc68771ecb34e4c842536b	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-02T11:49:45Z	70087863	0.9999863642721624	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	1180.883595		
d63926779339331804db230865b9e2ea7f7e7f52790ae6fb9668da8b4c8c4e5c	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-02T12:15:27Z	70088375	1.0000662214978897	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	30200.19402	OKX.com	exchange
d63926779339331804db230865b9e2ea7f7e7f52790ae6fb9668da8b4c8c4e5c	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-02T12:15:27Z	70088375	1.0000662214978897	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	30200.19402		
b7339e9190d69612716323a7b7da044a10609a89d935c0b02f53ebdff42185bf	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-03T07:17:09Z	70111203	0.9997232287566076	0	TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R	SENDING	48	OKX.com	exchange
b7339e9190d69612716323a7b7da044a10609a89d935c0b02f53ebdff42185bf	USDT_TRX	asset-v2:bip122:00000000000000001ebf88508a03865c:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t	2025-03-03T07:17:09Z	70111203	0.9997232287566076	0	TAgEaCZGoReTs5WtKTbzDoVYMyioYCF4os	RECEIVING	48		
